log_id,user_id,route_mode,start_location,end_location,start_lat,start_lon,end_lat,end_lon,total_distance_m,walking_distance_m,transport_modes,crosswalk_count,user_speed_factor,slope_factor,weather_factor,estimated_time_seconds,actual_time_seconds,time_difference_seconds,accuracy_percent,estimated_walk_time_seconds,walk_time_difference_seconds,walk_accuracy_percent,active_walking_time_seconds,paused_time_seconds,real_walking_speed_kmh,pause_count,weather_id,started_at,ended_at,created_at
1,13,transit,군포시 궁내동 942 궁내롯데묘향아파트,WI컨벤션,37.363464,126.920543,37.286444,127.035871,19662,,"[""BUS""]",3,1,0.982,0.988,4866,24,,,,,,0,9,,1,,2025-11-29T11:54:06.366000,2025-11-29T11:54:30.916000,2025-11-29T11:54:31.506907
2,13,transit,군포시 궁내동 942 궁내롯데묘향아파트,WI컨벤션,37.363447,126.920548,37.286444,127.035871,15954,142.16,"[""BUS""]",2,1,0.987,0.99,4008,62,,,,,,180,75,2.84,6,,2025-11-29T12:00:36.662000,2025-11-29T12:01:38.802000,2025-11-29T12:01:39.601033
3,13,transit,군포시 궁내동 942 궁내롯데묘향아파트,WI컨벤션,37.363447,126.920548,37.286444,127.035871,15954,,"[""BUS""]",2,1,0.987,0.99,4008,20,,,,,,0,38,,2,,2025-11-29T12:02:12.319000,2025-11-29T12:02:32.505000,2025-11-29T12:02:33.033944
4,20,walking,공릉2차신도브래뉴아파트,모아한방병원,37.62568,127.071919,37.618249,127.075137,1024,,,2,1,1.003,0.975,1057,22,,,,,,0,22,,2,,2025-11-29T15:37:28.683000,2025-11-29T15:37:51.546000,2025-11-29T15:37:51.667104
5,13,walking,서울둘레길: 우면산,서울둘레길: 우면산,37.473311,127.029283,37.473311,127.029283,5650,5650,,0,,,,6180,6180,,,,,,,0,,0,,2025-11-29T13:54:57.222000,2025-11-29T15:37:57.222000,2025-11-29T15:37:57.573635
6,13,transit,군포시 궁내초.중학교,WI컨벤션,37.363362,126.920697,37.286444,127.035871,21132,,"[""BUS""]",2,1,0.984,0.988,3744,2,,,,,,0,2,,2,,2025-11-29T16:56:32.942000,2025-11-29T16:56:35.710000,2025-11-29T16:56:36.260243
7,13,walking,서울둘레길: 우면산,서울둘레길: 우면산,37.473311,127.029283,37.473311,127.029283,5650,5650,,0,,,,6180,6180,,,,,,,0,,0,,2025-11-29T15:46:18.359000,2025-11-29T17:29:18.359000,2025-11-29T17:29:18.716314
8,13,walking,TRB - 송파소리길,TRB - 송파소리길,37.518422,127.067174,37.518422,127.067174,5910,5910,,0,,,,5220,5220,,,,,,,0,,0,,2025-11-30T02:03:08.411000,2025-11-30T03:30:08.411000,2025-11-30T03:30:08.241339
9,20,walking,공릉2차신도브래뉴아파트,모아한방병원,37.62568,127.071919,37.618249,127.075137,1024,628.53,,2,1,1.003,0.977,1059,1004,,,,,,599,414,3.78,2,,2025-11-30T04:14:20.553000,2025-11-30T04:31:05.093000,2025-11-30T04:31:05.593936
10,20,walking,모아한방병원,공릉2차신도브래뉴아파트,37.618249,127.075137,37.62568,127.071919,1024,748.03,,2,1,1.002,0.977,1067,887,,,,,,860,31,3.13,3,,2025-11-30T13:17:17.403000,2025-11-30T13:32:05.019000,2025-11-30T13:32:05.448382
11,20,walking,공릉2차신도브래뉴아파트,모아한방병원,37.62568,127.071919,37.618249,127.075137,1024,43.78,,2,0.79,1.003,0.983,874,958,,,,,,18,947,8.75,1,,2025-12-01T04:14:29.152000,2025-12-01T04:30:27.984000,2025-12-01T04:30:28.478231
12,13,walking,군포시 궁내동 942 궁내롯데묘향아파트,헌혈의집 산본센터,37.36332,126.920632,37.359677,126.932038,1643,1958.26,,7,1,0.912,0.979,2084,803,,,,,,1015,0,6.95,0,,2025-12-01T06:48:10.324000,2025-12-01T07:01:33.703000,2025-12-01T07:01:32.979448
13,13,transit,군포시 26-18,군포문화예술회관,37.358962,126.930924,37.366622,126.927218,1295,758.3,"[""BUS""]",3,0.858,1.023,0.979,1038,869,,,,,,860,93,3.17,4,,2025-12-01T07:45:33.271000,2025-12-01T08:00:02.402000,2025-12-01T08:00:01.711732
15,13,walking,군포시 8,수리고등학교,37.357689,126.924025,37.355115,126.919647,530,780.86,,0,0.858,1.092,0.994,444,210,,,,,,418,0,6.73,0,,2025-12-01T08:11:57.251000,2025-12-01T08:15:27.804000,2025-12-01T08:15:27.083399
16,13,walking,군포시 수리동주민센터,묘향롯데아파트 940동,37.355785,126.920709,37.362236,126.919931,1150,2221.2,,2,0.858,1.075,0.994,1149,647,,,,,,1290,0,6.19,0,,2025-12-01T08:17:50.153000,2025-12-01T08:28:37.244000,2025-12-01T08:28:36.495538
17,13,walking,군포시 궁내초.중학교,피자스쿨 산본궁내점,37.363806,126.920963,37.361318,126.922889,378,6.42,,3,0.858,0.938,0.994,593,207,,,,,,4,404,5.8,2,,2025-12-01T08:33:57.281000,2025-12-01T08:37:24.711000,2025-12-01T08:37:24.105243
18,13,walking,피자스쿨 산본궁내점,동성푸른별어린이집,37.361318,126.922889,37.363606,126.921382,336,679.76,,3,0.858,1.099,0.994,604,199,,,,,,388,0,6.3,0,,2025-12-01T08:39:59.547000,2025-12-01T08:43:19.018000,2025-12-01T08:43:18.260638
19,22,walking,동성푸른별어린이집,피자스쿨 산본궁내점,37.363606,126.921382,37.361318,126.922889,336,787.76,,3,0.858,0.919,0.994,551,348,,,,,,694,0,4.1,0,,2025-12-01T08:44:45.422000,2025-12-01T08:50:34.075000,2025-12-01T08:50:33.305281
20,22,walking,피자스쿨 산본궁내점,동성푸른별어린이집,37.361318,126.922889,37.363606,126.921382,336,391.11,,3,0.858,1.099,0.994,604,517,,,,,,510,0,2.77,0,,2025-12-01T08:51:31.360000,2025-12-01T09:00:08.654000,2025-12-01T09:00:07.899139
21,22,walking,군포시 궁내초.중학교,묘향롯데아파트,37.363542,126.920779,37.362319,126.921086,408,528.41,,0,0.858,0.993,0.994,310,618,,,,,,678,17,2.81,3,,2025-12-01T09:02:09.254000,2025-12-01T09:12:27.287000,2025-12-01T09:12:26.492614
22,22,walking,군포시 산본동 1148,묘향롯데아파트 942동,37.362273,126.921143,37.363191,126.920321,129,79.53,,0,0.858,1.027,0.994,101,182,,,,,,94,130,3.06,1,,2025-12-01T09:13:06.173000,2025-12-01T09:16:08.602000,2025-12-01T09:16:07.789354
23,23,walking,마포구 망원동 474-15,홈플러스 월드컵점,37.561322,126.905035,37.568323,126.898591,1070,1731.91,,2,0.879,1.027,1.007,1139,963,,,,,,703,212,8.86,16,,2025-12-01T11:45:51.129000,2025-12-01T12:01:54.460000,2025-12-01T12:01:54.809679
24,15,walking,Dongdaemun District 167,꾼들이꾸운누룽지통닭,37.574319,127.075114,37.572667,127.075522,278,957.66,,1,1,0.998,1,351,302,,,,,,596,0,5.8,0,,2025-12-01T12:04:29.877000,2025-12-01T12:09:32.729000,2025-12-01T12:09:32.334987
25,23,walking,마포구 성산동 417-1,대명하이츠,37.567639,126.89882,37.55921,126.904092,1341,1430.3,,3,0.879,0.979,1.014,1435,1051,,,,,,856,265,6.01,18,,2025-12-01T12:18:11.389000,2025-12-01T12:35:42.412000,2025-12-01T12:35:42.676752
26,20,walking,모아한방병원,공릉2차신도브래뉴아파트,37.62568,127.071919,37.618249,127.075137,1024,1952.14,,2,0.79,1.003,0.983,874,988,,,,,,1970,0,3.56,0,,2025-12-01T13:08:54.299000,2025-12-01T13:25:22.990000,2025-12-01T13:25:23.693349
27,24,transit,마포구 37-6,서울특별시청,37.559183,126.904061,37.566824,126.978652,8609,,"[""BUS""]",1,0.879,1.003,1.009,2146,5,,,,,,1,0,,0,,2025-12-01T17:28:05.842000,2025-12-01T17:28:10.943000,2025-12-01T17:28:11.097388
28,25,transit,마포구 망원동 473-22,동국대학교 신공학관,37.560769,126.903815,37.558056,126.998311,13116,194.31,"[""SUBWAY""]",2,0.879,1.047,1.022,2602,2595,,,,,,144,2449,4.86,1,,2025-12-02T00:00:50.185000,2025-12-02T00:44:05.904000,2025-12-02T00:44:06.307307
29,13,transit,군포시 궁내초.중학교,동국대학교 정보문화관P,37.363505,126.920919,37.559609,126.99866,33366,30.62,"[""BUS"", ""SUBWAY""]",2,0.86,0.978,1.009,4369,27,,,,,,24,0,4.61,0,,2025-12-02T05:48:11.079000,2025-12-02T05:48:38.421000,2025-12-02T05:48:38.104024
31,25,transit,중구 필동3가 26-6,대명하이츠,37.559664,126.998594,37.535825,127.144021,15470,,"[""BUS""]",1,1,1.029,1.005,3300,3,,,,,,1,0,,0,,2025-12-02T07:15:04.967000,2025-12-02T07:15:08.552000,2025-12-02T07:15:08.850925
34,13,transit,군포시 궁내초.중학교,더클라임 이수점,37.363521,126.920864,37.482011,126.981487,19697,4281.56,"[""BUS"", ""SUBWAY""]",3,1,0.969,1.025,2966,2936,,,,,,2031,8,7.6,1,,2025-12-03T02:50:40.124000,2025-12-03T03:39:36.879000,2025-12-03T03:39:37.322329
36,25,transit,마포구 성산동 350-8,스타필드 코엑스몰,37.562917,126.903222,37.512923,127.058132,22559,,"[""BUS"", ""SUBWAY""]",0,1,1.006,1.031,2995,1,,,,,,0,0,,0,,2025-12-03T03:45:06.092000,2025-12-03T03:45:08.028000,2025-12-03T03:45:08.365368
37,25,transit,봉은사.코엑스북문,롯데월드타워,37.513838,127.058837,37.512604,127.102556,4728,,"[""BUS""]",2,0.879,1.003,1.047,1276,115,,,,,,0,0,,0,,2025-12-03T03:54:37.200000,2025-12-03T03:56:32.780000,2025-12-03T03:56:33.068450
38,15,transit,Bongeunsa Temple. Lotte Duty Free Shop,롯데월드타워&롯데월드몰,37.513727,127.058831,37.513652,127.104079,4955,134.3,"[""BUS""]",3,1,1.009,1.047,2023,135,,,,,,107,52,4.54,2,,2025-12-03T03:54:40.698000,2025-12-03T03:56:56,2025-12-03T03:56:55.369154
40,15,transit,Bongeunsa Temple. COEX North Gate,롯데월드타워&롯데월드몰,37.513683,127.057594,37.513652,127.104079,4848,478.4,"[""BUS""]",3,1,0.998,1.047,1922,1413,,,,,,937,528,1.84,18,,2025-12-03T03:57:20.892000,2025-12-03T04:20:54.264000,2025-12-03T04:20:53.815181
43,25,transit,잠실역 2호선,마포구청역 6호선,37.513311,127.100231,37.563487,126.903426,28533,372.18,"[""SUBWAY""]",1,0.879,0.999,1.026,3594,3450,,,,,,249,3188,8.78,5,,2025-12-03T13:16:15.989000,2025-12-03T14:13:46.204000,2025-12-03T14:13:46.550662
44,28,transit,잠실역 2호선,래미안장안2차아파트,37.513311,127.100231,37.573965,127.075388,13204,743.79,"[""BUS"", ""SUBWAY""]",1,1,1.004,1.026,2888,3623,,,,,,621,2947,6.98,13,,2025-12-03T13:15:42.199000,2025-12-03T14:16:05.619000,2025-12-03T14:16:06.032080
45,25,walking,망원동 472-2번지 A동 204호 마포구 서울특별시 KR,대명하이츠,37.562379,126.903619,37.55921,126.904092,465,471.16,,1,0.879,0.981,1.057,380,282,,,,,,307,86,6.7,4,,2025-12-03T14:16:52.284000,2025-12-03T14:21:34.558000,2025-12-03T14:21:34.978540
46,25,walking,대명하이츠,마포구청역 6호선 6번출구,37.55921,126.904092,37.562696,126.903352,580,542.16,,1,0.696,1.02,1.057,391,313,,,,,,296,17,7.06,2,,2025-12-03T15:48:29.276000,2025-12-03T15:53:42.747000,2025-12-03T15:53:43.174246
47,25,walking,마포구 망원제2동 472-1,탑건진선미아파트,37.562522,126.903313,37.561188,126.899653,393,670.33,,0,0.696,1.019,1.057,264,250,,,,,,226,18,6.26,4,,2025-12-03T15:55:33.534000,2025-12-03T15:59:43.989000,2025-12-03T15:59:44.377024
48,25,walking,마포구 망원동 433-9,올웨이즈어거스트,37.558637,126.902096,37.55611,126.903519,451,417.35,,1,0.696,1.004,1.057,298,264,,,,,,262,2,6.19,1,,2025-12-03T16:08:10.942000,2025-12-03T16:12:35.088000,2025-12-03T16:12:35.426280
49,25,walking,마포구 19,힙댕,37.556034,126.903552,37.557639,126.908364,583,646.41,,1,0.696,0.993,1.057,382,379,,,,,,375,4,5.58,1,,2025-12-03T16:13:28.400000,2025-12-03T16:19:47.747000,2025-12-03T16:19:48.037422
50,25,walking,마포구 482-9,대명하이츠,37.558075,126.908045,37.55921,126.904092,550,619.49,,0,0.696,1.001,1.057,364,341,,,,,,338,0,5.87,1,,2025-12-03T16:22:01.237000,2025-12-03T16:27:42.434000,2025-12-03T16:27:42.781150
51,25,walking,마포구 482-9,대명하이츠,37.558075,126.908045,37.55921,126.904092,550,1564.05,,0,0.696,1.001,1.057,364,341,,,,,,340,0,5.83,0,,2025-12-03T16:22:01.237000,2025-12-03T16:27:42.651000,2025-12-03T16:27:42.895258
